"colname","unit","format","description"

"I_HI_MeerKAT","K km s-1",".3e","Region-average HI 21cm line intensity"
"e_I_HI_MeerKAT","K km s-1",".1e","Stats error on region-average HI 21cm line intensity"
"HI_MeerKAT_MOM2", "km s-1",".3e","Region-average HI 21cm line width"
"e_HI_MeerKAT_MOM2", "km s-1",".3e","Region-average HI 21cm line width"
"HI_MeerKAT_T_PEAK", "K",".3e","Region-average HI 21cm line Tpeak"
"e_HI_MeerKAT_T_PEAK", "K",".3e","Region-average HI 21cm line Tpeak"
"Sigma_atom_MeerKAT","Msun pc-2",".3e","Region-average atomic gas surface density"
"e_Sigma_atom_MeerKAT","Msun pc-2",".1e","Stats error on region-average atomic gas surface density"
"HI_line_width_effective", "km s-1", "3e", "Region-average HI line width; based on Tpeak"
